PAYMENT RECEIVED SUMMARY,,,,,,,
,, Total Claims Value , Total Received , Remaining ,,,
,," 33,703,483.63 "," 11,443,345.29 "," 22,260,138.34 ",,,
,,,,,,,
, Payment Claim & Reference , A Before VAT , B Retention , C VAT , D Sub Total , E WH Tax , F Grand Total 
Italian-Thai Development PLC, (3 Claims) ,  ,  ,  ,  ,  ,  
1, 25962025/018 ," 114,863.49 "," 2,614,947.00 "," 8,040.44 "," 122,903.93 "," 3,445.90 "," 119,458.03 "
2, 25962025/Payment (VO)/014 R.1 ," 1,297,004.89 "," 2,565,411.65 "," 90,790.34 "," 1,310,703.62 "," 38,910.15 "," 1,271,793.47 "
3, 25962026/Payment (Final Claim)/001 ," 13,249,560.24 "," 662,478.02 "," 927,469.22 "," 13,514,551.44 "," 397,486.81 "," 13,117,064.63 "
Total Claim,  ,,  ,  , -   ,  ," 14,508,316.13 "
Received,,,,,,," 1,526,413.96 "
Remaining,,,,,,," 12,981,902.17 "
,,,,,,,
"XTi Thailand Co., Ltd.", (5 Claims) ,  ,  ,  ,  ,  ,  
1, Xti/ASC/Payment/008 ," 1,314,339.83 "," 977,714.11 "," 92,003.79 "," 1,312,462.21 "," 39,430.18 "," 1,273,032.03 "
2, Xti/ASC/Claim VO/010 ," 3,351,702.91 "," 123,300.00 "," 234,619.20 "," 3,565,441.31 "," 100,551.09 "," 3,464,890.22 "
3, BI2512001 ," 83,225.50 ", -   ," 5,825.79 "," 89,051.29 "," 2,496.77 "," 86,554.52 "
4, BI2512002 ," 32,920.98 ", -   ," 2,304.47 "," 35,225.45 ", 987.63 ," 34,237.82 "
5, BI2512003 ," 38,140.19 ", -   ," 2,669.81 "," 40,810.00 "," 1,144.21 "," 39,665.80 "
Total Claim,  ,,  ,  , -   ,  ," 4,898,380.39 "
Received,,,,,,," 80,424.45 "
Remaining,,,,,,," 4,817,955.94 "
,,,,,,,
BANGKOK DEC - CON PUBLIC COMPANY LIMITED, (3 Claims) ,  ,  ,  ,  ,  ,  
1, BKD/ASC/Payment/009 ," 4,860,477.05 "," 4,093,808.74 "," 340,233.40 "," 4,795,670.70 "," 145,814.31 "," 4,649,856.39 "
2, Claim VO. No. 1 VO of Final Account SI-040 ," 1,618,086.23 "," 80,904.31 "," 113,266.04 "," 1,650,447.96 "," 48,542.59 "," 1,601,905.37 "
3, Claim VO. No. 2 VO of Final Account SI-050 ," 1,168,798.40 "," 58,439.92 "," 81,815.89 "," 1,192,174.37 "," 35,063.95 "," 1,157,110.42 "
Total Claim,  ,,  ,  , -   ,  ," 7,408,872.18 "
